Keuwl Accelerometer Data File
2016-06-30 22-03-47

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.261057,4.083508,9.493857,10.338110,23.315996,86.342079
0.0024939,0.407153,3.987708,9.572893,10.378241,22.720432,84.170181
0.0050387,0.464634,3.987708,9.457932,10.274735,23.000164,83.354065
0.0075708,0.493374,4.006868,9.486672,10.309964,23.052567,82.980385
0.0100956,0.471819,4.030818,9.362132,10.203902,23.435974,83.323746
0.0126175,0.359253,4.030818,9.170530,10.023731,23.811041,84.906883
0.0151778,0.457449,4.090693,8.964559,9.864398,24.662828,83.619308
0.0177004,0.462239,4.114644,8.789722,9.716130,25.223465,83.590271
0.0202277,0.471819,4.066743,8.681946,9.598812,25.246489,83.382195
0.0227528,0.646655,4.184099,8.466394,9.465975,26.568176,81.214409
0.0252965,0.641865,4.169729,8.416099,9.414316,26.623808,81.248894
0.0278346,0.514929,4.188890,8.291558,9.303864,26.976196,82.991936
0.0303724,0.658630,4.323010,8.243657,9.331672,27.943975,81.337341
0.0329152,0.617915,4.299060,8.236472,9.311456,27.803486,81.820747
0.0354357,0.610730,4.337380,8.210127,9.305485,28.080273,81.985092
0.0379777,0.519719,4.327800,8.174202,9.263776,28.068777,83.152222
0.0405285,0.479004,4.382886,8.119117,9.239004,28.503618,83.762917
0.0430999,0.553250,4.363726,8.083191,9.202508,28.553850,82.774376
0.0456203,0.555645,4.500242,8.006551,9.201401,29.524530,82.961319
0.0481406,0.572410,4.454737,7.872429,9.063524,29.705532,82.677925
0.0506618,0.443079,4.593647,7.891590,9.141942,30.318905,84.490601
0.0531881,0.495769,4.744534,7.977810,9.295259,30.877497,84.034660
0.0557089,0.469424,4.751719,8.011341,9.326348,30.795416,84.358040
0.0582293,0.431104,4.802014,8.195757,9.508713,30.467064,84.869995
0.0607509,0.423918,4.663103,8.344249,9.568214,29.298740,84.805573
0.0632746,0.440684,4.548142,8.756192,9.876776,27.557924,84.465714
0.0657612,0.397573,4.275110,8.943004,9.920280,25.645773,84.686935
0.0682794,0.344883,4.208049,9.141790,10.069705,24.789974,85.314629
0.0707996,0.251477,4.117039,9.232800,10.112263,24.072487,86.504601
0.0733192,0.318538,4.102669,9.146580,10.029620,24.222828,85.560371
