Keuwl Accelerometer Data File
2016-06-30 21-42-18

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,1.631008,5.122947,9.881851,11.249701,28.548828,72.339928
0.0025105,1.817820,5.058281,9.857901,11.228040,28.601357,70.232834
0.0050185,1.815425,5.075047,9.812395,11.195310,28.780119,70.317062
0.0075129,1.875300,4.936135,9.577683,10.936828,28.868774,69.197578
0.0100230,1.995051,5.031936,9.539363,10.968139,29.572258,68.372765
0.0125288,1.916016,4.869075,9.309442,10.679172,29.338737,68.520012
0.0150389,2.007026,4.931345,9.208851,10.637164,30.034491,67.853989
0.0175621,1.968706,4.921765,9.177715,10.598587,30.010054,68.198593
0.0200818,1.956731,4.945715,9.007668,10.460735,30.560448,68.414185
0.0226130,2.021397,4.873865,8.880733,10.329957,30.716339,67.474159
0.0251301,1.858535,4.926555,8.715476,10.182565,31.138311,69.331093
0.0276621,1.808240,4.852310,8.578960,10.020639,31.115309,69.561813
0.0301714,1.690884,4.847520,8.392149,9.837973,31.456522,70.770500
0.0327030,1.729204,4.907395,8.250843,9.754439,32.236324,70.589226
0.0352318,1.664539,4.921765,8.155042,9.669497,32.501419,71.314491
0.0377701,1.674119,4.979246,8.159832,9.704556,32.772675,71.416359
0.0402752,1.592688,4.821175,8.104747,9.563854,32.066204,71.718887
0.0427997,1.664539,4.926555,7.932305,9.484888,33.247532,71.331398
0.0453236,1.638193,4.928950,7.961045,9.505602,33.121799,71.615181
0.0478663,1.652564,4.969666,7.939490,9.511259,33.410549,71.606476
0.0503909,1.674119,4.996011,8.011341,9.588763,33.332832,71.474457
0.0529192,1.784290,4.981641,8.042476,9.627141,33.342899,70.293846
0.0554420,1.767524,5.036726,8.047266,9.656669,33.556854,70.662636
0.0579667,1.839375,5.034331,8.162227,9.764719,33.291420,69.929398
0.0604925,1.796265,5.089417,8.167017,9.789223,33.458378,70.559967
0.0630084,1.779500,5.070257,8.210127,9.812253,33.204437,70.660545
0.0655252,1.858535,5.113367,8.310719,9.933213,33.210953,70.025513
0.0680423,1.801055,5.115762,8.265213,9.885776,33.272449,70.604874
0.0705571,1.781895,5.058281,8.298743,9.880815,32.872074,70.594032
0.0730748,1.762734,5.161267,8.349038,9.972580,33.154446,71.143356
0.0755921,1.688489,5.134922,8.284373,9.891878,33.123730,71.797859
0.0781054,1.664539,5.072651,8.315508,9.881809,32.701511,71.833282
0.0806261,1.549578,5.053492,8.260423,9.806811,32.614624,72.952621
0.0831437,1.544788,5.125342,8.372989,9.937929,32.591904,73.227097
0.0856471,1.587898,5.127737,8.296348,9.881523,32.904011,72.793900
0.0881477,1.556763,5.024751,8.365804,9.882222,32.161518,72.786034
0.0906602,1.403481,5.094207,8.341853,9.874575,32.351524,74.596832
0.0931793,1.465752,5.079837,8.368198,9.898480,32.284935,73.904869
0.0956991,1.487307,4.984036,8.308323,9.802088,32.047607,73.384148
0.0982175,1.451382,5.046306,8.339458,9.854861,32.196266,73.954094
0.1007265,1.590293,4.979246,8.387359,9.882798,31.931332,72.287331
0.1032259,1.604663,5.043911,8.401729,9.930006,32.210552,72.352119
0.1057429,1.568738,5.024751,8.392149,9.906424,32.097816,72.661530
0.1082618,1.628613,4.974456,8.418494,9.913054,31.871634,71.871796
0.1107921,1.726809,4.952900,8.478370,9.969747,31.743736,70.779091
0.1132900,1.664539,5.043911,8.466394,9.994576,32.102482,71.736618
0.1158066,1.793870,5.012776,8.483160,10.015483,32.112648,70.309769
0.1183286,1.741179,4.996011,8.545430,10.050682,31.762886,70.785843
0.1208605,1.743574,5.051096,8.519085,10.056263,32.097813,70.955978
0.1233545,1.805845,5.084627,8.487949,10.057822,32.444103,70.447113
0.1258656,1.810635,5.024751,8.588540,10.113830,31.876568,70.183716
0.1283934,1.750759,5.063072,8.564590,10.102082,32.026329,70.925125
0.1309149,1.827400,5.051096,8.578960,10.121835,32.051689,70.110748
0.1334306,1.767524,5.019961,8.610096,10.122149,31.720907,70.602875
0.1359379,1.851350,5.065466,8.564590,10.121199,32.198925,69.923416
0.1384552,1.753154,5.024751,8.593330,10.107770,31.769756,70.765930
0.1409720,1.724414,5.067862,8.578960,10.112141,31.963854,71.208374
0.1435063,1.700464,4.960086,8.634046,10.101523,31.270403,71.076775
0.1460102,1.587898,4.936135,8.655601,10.089910,30.924280,72.167610
0.1485250,1.628613,4.921765,8.516690,9.970465,31.329426,71.690605
0.1510334,1.595083,4.996011,8.511900,9.997842,31.638599,72.293205
0.1535602,1.516047,4.873865,8.502319,9.916773,30.977713,72.721352
0.1560614,1.504072,4.955296,8.569380,10.012566,31.144842,73.115471
0.1585774,1.508862,4.945715,8.595725,10.031115,31.029024,73.033852
0.1610926,1.444197,4.926555,8.593330,10.010094,30.855164,73.661743
0.1636204,1.496887,4.895420,8.626861,10.031378,30.684807,72.997780
0.1661353,1.439407,4.952900,8.657996,10.077897,30.783487,73.795135
0.1686574,1.539998,4.943321,8.677156,10.104506,30.824459,72.696571
0.1711663,1.611848,4.933741,8.789722,10.207795,30.561998,71.907837
0.1736846,1.666934,4.837940,8.866363,10.237026,29.990623,70.988380
0.1762021,1.561553,4.857100,8.751402,10.130000,30.241598,72.177452
0.1787151,1.599873,4.969666,8.880733,10.301678,30.450579,72.155197
0.1812430,1.762734,4.986431,8.880733,10.336302,30.775486,70.531181
0.1837354,1.702859,4.993616,8.892708,10.340028,30.680336,71.170258
0.1862395,1.623823,4.962481,8.868757,10.291641,30.487062,71.880867
0.1887589,1.647774,4.950506,8.902288,10.318595,30.374104,71.590004
0.1912846,1.645378,4.993616,8.897498,10.334842,30.579679,71.763138
