Keuwl Accelerometer Data File
2016-06-30 21-42-18

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.1937996,1.642983,4.926555,8.784932,10.205164,30.589867,71.556694
0.1963195,1.762734,5.022356,8.794512,10.279821,31.183640,70.660072
0.1988364,1.611848,4.986431,8.796907,10.239537,30.782999,72.086731
0.2013548,1.587898,5.007986,8.804092,10.252482,30.825953,72.407578
0.2038833,1.642983,5.024751,8.780142,10.248825,31.052237,71.893387
0.2064074,1.602268,4.993616,8.605306,10.077437,31.359587,72.210472
0.2089242,1.568738,4.931345,8.698711,10.121595,30.748371,72.353325
0.2114476,1.585503,4.991221,8.590936,10.061326,31.366287,72.377113
0.2139631,1.688489,4.936135,8.657996,10.108280,31.071365,71.115875
0.2164841,1.607058,4.950506,8.526270,9.989366,31.401770,72.015274
0.2190043,1.556763,4.945715,8.583751,10.028180,31.133720,72.527565
0.2215195,1.631008,4.885840,8.550220,9.981878,31.065907,71.539780
0.2240509,1.669329,4.909790,8.629255,10.067609,31.004084,71.221970
0.2265672,1.631008,4.933741,8.566985,10.019741,31.239092,71.707016
0.2290647,1.575923,4.940926,8.660391,10.094486,30.914736,72.309761
0.2315810,1.645378,4.952900,8.583751,10.045858,31.300240,71.623253
0.2341109,1.561553,4.967271,8.727451,10.162708,30.820993,72.548500
0.2366146,1.614243,4.945715,8.660391,10.102883,30.994171,71.923721
0.2391233,1.640588,4.897815,8.722662,10.137305,30.632656,71.481041
0.2416378,1.595083,4.902605,8.703502,10.115867,30.640583,71.977486
0.2441522,1.626218,4.984036,8.768167,10.215965,30.875906,71.929253
0.2466550,1.563948,4.993616,8.665181,10.122623,31.127254,72.609993
0.2491721,1.635798,5.007986,8.693921,10.165629,31.215172,71.910995
0.2516896,1.508862,4.964876,8.660391,10.095991,30.928997,73.095589
0.2542042,1.568738,4.960086,8.662786,10.104814,30.986006,72.449280
0.2567078,1.587898,4.996011,8.768167,10.215786,30.874224,72.368019
0.2592061,1.516047,5.055886,8.578960,10.072683,31.602339,73.308228
0.2617201,1.504072,4.955296,8.643626,10.076183,30.926485,73.115471
0.2642363,1.523232,5.034331,8.538245,10.028278,31.633892,73.165817
0.2667650,1.573528,5.041516,8.483160,9.992842,31.905205,72.666122
0.2692942,1.513652,4.957691,8.566985,10.013145,31.176813,73.021835
0.2718078,1.602268,4.962481,8.478370,9.953704,31.594158,72.105957
0.2743231,1.575923,5.017566,8.459209,9.960810,31.869900,72.563477
0.2768620,1.499282,5.024751,8.480764,9.970924,31.728518,73.385979
0.2793618,1.607058,4.893025,8.452024,9.897527,31.355721,71.817825
0.2818782,1.583108,4.943321,8.435259,9.904355,31.606039,72.242233
0.2843957,1.556763,4.972061,8.519085,9.985975,31.448996,72.614548
0.2869168,1.650169,5.017566,8.492740,10.001283,31.879032,71.795090
0.2894235,1.645378,5.010381,8.571775,10.064120,31.601158,71.820137
0.2919381,1.640588,4.974456,8.600515,10.070035,31.342850,71.747314
0.2944529,1.733994,4.986431,8.768167,10.234841,31.052183,70.825264
0.2969731,1.604663,4.967271,8.732242,10.173532,30.870483,72.097092
0.2994856,1.650169,5.003196,8.799302,10.255864,30.909737,71.746262
0.3020039,1.631008,4.969666,8.837623,10.269437,30.618773,71.830536
0.3045113,1.736389,4.986431,8.868757,10.321550,30.767902,70.800713
0.3070395,1.662144,4.988826,8.854387,10.298120,30.705179,71.573303
0.3095470,1.650169,5.029541,8.974138,10.418949,30.533920,71.835579
0.3120624,1.666934,5.000801,8.899893,10.343827,30.637783,71.565048
0.3145799,1.628613,5.055886,9.017249,10.465426,30.500731,72.145096
0.3170951,1.609453,5.005591,8.966953,10.394832,30.386177,72.175789
0.3196185,1.638193,4.957691,8.933423,10.347387,30.305107,71.714645
0.3221210,1.698069,4.950506,8.981323,10.394957,30.230402,71.067558
0.3246372,1.736389,4.952900,8.947793,10.373488,30.394352,70.680336
0.3271483,1.707649,4.936135,9.055570,10.453938,29.975950,70.917015
0.3296580,1.638193,4.933741,8.902288,10.309035,30.283329,71.631828
0.3321769,1.585503,4.938530,8.816068,10.228683,30.469791,72.200897
0.3346961,1.614243,4.952900,8.887918,10.302043,30.375103,71.948235
0.3372261,1.628613,4.986431,8.878338,10.312214,30.576174,71.912491
0.3397638,1.575923,4.926555,8.820857,10.225556,30.386988,72.261391
0.3422676,1.544788,4.998406,8.794512,10.232980,30.747555,72.825920
0.3447933,1.489702,4.979246,8.832832,10.248465,30.472929,73.343750
0.3473130,1.525627,4.940926,8.703502,10.123796,30.716259,72.840691
0.3498361,1.513652,4.955296,8.885523,10.285846,30.247301,73.014099
0.3523307,1.492097,4.984036,8.818462,10.238762,30.539156,73.333595
0.3548476,1.516047,4.933741,8.741821,10.151830,30.558788,72.918770
0.3573686,1.468147,4.842730,8.794512,10.146474,29.916233,73.134521
0.3598889,1.496887,4.931345,8.729847,10.137507,30.554798,73.114571
0.3624177,1.528023,4.905000,8.763377,10.158280,30.380808,72.696960
0.3649361,1.480122,4.933741,8.777747,10.177495,30.405352,73.300758
0.3674701,1.451382,4.921765,8.787327,10.175824,30.282522,73.569710
0.3699881,1.528023,4.883445,8.760982,10.145822,30.287413,72.625175
0.3725052,1.494492,4.885840,8.775352,10.154395,30.209381,72.992050
0.3750087,1.487307,4.854705,8.751402,10.117672,30.121630,72.966820
0.3775227,1.458567,4.878655,8.667576,10.052639,30.433350,73.354965
0.3800381,1.523232,4.900210,8.725057,10.122199,30.461224,72.732124
0.3825682,1.492097,4.871470,8.713081,10.093332,30.316387,72.970543
0.3850858,1.571133,4.847520,8.737032,10.114476,30.252378,72.041939
0.3876005,1.587898,4.885840,8.780142,10.172696,30.332567,71.995834
0.3901244,1.508862,4.849915,8.624466,10.008984,30.495104,72.718498
0.3926525,1.587898,4.878655,8.602911,10.016624,30.810808,71.971039
0.3951678,1.563948,4.928950,8.593330,10.029248,31.037840,72.395851
0.3976841,1.506467,4.962481,8.586145,10.030830,31.132328,73.113213
0.4002037,1.530418,4.835545,8.547825,9.939315,30.683254,72.437767
0.4027140,1.377136,4.926555,8.425679,9.856953,31.262848,74.382553
0.4052315,1.465752,4.897815,8.499925,9.918959,31.025591,73.339317
0.4077442,1.551973,4.948111,8.492740,9.950831,31.408842,72.585991
0.4102648,1.477727,4.960086,8.435259,9.896450,31.531590,73.409958
0.4127609,1.539998,4.919370,8.475974,9.920380,31.306471,72.617393
0.4152920,1.506467,4.854705,8.468789,9.877145,30.972691,72.760323
0.4178094,1.518442,4.871470,8.526270,9.936507,30.898857,72.687691
0.4203252,1.425037,4.866680,8.495134,9.893564,30.834370,73.679176
0.4228431,1.549578,4.888235,8.562195,9.980342,30.917727,72.411308
0.4253474,1.642983,4.945715,8.547825,10.011233,31.370012,71.623337
0.4278637,1.698069,4.948111,8.612491,10.076817,31.275192,71.059052
0.4303710,1.642983,4.835545,8.643626,10.039629,30.576496,71.233665
0.4328893,1.695674,4.907395,8.619676,10.062636,31.062815,70.938210
0.4354065,1.549578,4.943321,8.701106,10.126542,30.768911,72.595413
0.4379231,1.645378,4.952900,8.598121,10.058140,31.257715,71.623253
0.4404488,1.590293,5.019961,8.775352,10.234053,30.966764,72.422119
0.4429547,1.518442,4.933741,8.892708,10.282398,30.134686,72.893364
0.4454692,1.456172,4.902605,8.794512,10.173466,30.179375,73.457527
0.4479903,1.410667,4.869075,8.844808,10.194532,29.818716,73.842659
0.4505083,1.305286,4.969666,8.840017,10.224834,30.167118,75.283623
0.4530244,1.240620,4.835545,8.880733,10.187691,29.341799,75.610413
0.4555265,1.228645,4.785249,8.943004,10.216922,28.917969,75.599976
0.4580310,1.257385,4.871470,8.947793,10.265244,29.347994,75.527153
0.4605447,1.326841,4.813990,8.938213,10.238489,29.190704,74.590630
0.4630418,1.283731,4.785249,8.914263,10.198562,29.064831,74.982948
0.4655622,1.266965,4.811594,8.931028,10.223498,29.122816,75.248016
0.4680789,1.250200,4.706213,8.940608,10.180664,28.574614,75.123039
0.4705919,1.288521,4.763694,8.964559,10.233103,28.832270,74.864388
0.4731192,1.410667,4.849915,9.026829,10.343853,29.228928,73.782181
0.4756225,1.338816,4.785249,9.012459,10.291523,28.870085,74.369453
0.4780963,1.405877,4.792434,8.916658,10.220113,29.254004,73.650772
0.4806647,1.415457,4.864285,8.892708,10.234503,29.669523,73.775551
0.4831911,1.434617,4.802014,8.899893,10.213988,29.384853,73.366318
0.4857070,1.456172,4.847520,8.890313,10.230179,29.654100,73.279984
0.4882177,1.458567,4.818779,8.820857,10.156553,29.716454,73.159782
0.4907382,1.439407,4.849915,8.899893,10.237267,29.615402,73.469627
0.4932601,1.403481,4.828360,8.837623,10.167911,29.637896,73.792191
0.4957896,1.504072,4.811594,8.804092,10.145231,29.795330,72.641106
0.4983196,1.441802,4.864285,8.811277,10.167530,29.933004,73.489876
0.5008482,1.518442,4.866680,8.899893,10.256624,29.805075,72.671669
0.5033705,1.420247,4.778064,8.722662,10.046484,29.746359,73.445786
0.5058942,1.463357,4.852310,8.648416,10.024042,30.371273,73.217766
0.5083989,1.468147,4.881050,8.789722,10.160676,30.109003,73.259499
0.5109267,1.453777,4.893025,8.760982,10.139524,30.226433,73.452675
0.5134290,1.444197,4.873865,8.770562,10.137210,30.096161,73.494682
0.5159467,1.386716,4.825964,8.684341,10.031486,30.036304,73.968262
0.5184917,1.448987,4.861890,8.648416,10.026596,30.396168,73.404388
0.5210067,1.561553,4.873865,8.665181,10.063716,30.567352,72.234901
0.5235323,1.367556,4.869075,8.576566,9.956685,30.527250,74.311768
0.5260476,1.468147,4.823570,8.684341,10.041915,30.139067,73.071358
0.5285677,1.434617,4.804410,8.655601,10.002995,30.082912,73.374153
0.5310891,1.312471,4.763694,8.636441,9.950049,29.775290,74.596306
0.5336068,1.314866,4.828360,8.662786,10.004289,30.013529,74.766525
0.5361104,1.343606,4.854705,8.701106,10.053988,30.067217,74.529846
0.5386145,1.343606,4.864285,8.686736,10.046189,30.153849,74.558861
0.5411295,1.259780,4.823570,8.760982,10.080112,29.641687,75.362915
0.5436421,1.372346,4.792434,8.729847,10.052910,29.727907,74.020576
0.5461428,1.444197,4.888235,8.746612,10.123426,30.231609,73.540573
0.5486549,1.319656,4.840335,8.751402,10.087486,29.824795,74.749680
0.5511609,1.357976,4.758904,8.763377,10.064197,29.454344,74.073647
0.5536814,1.463357,4.905000,8.727451,10.117749,30.391558,73.388062
0.5561883,1.501677,4.883445,8.720266,10.106736,30.365612,72.907143
0.5587177,1.317261,4.876260,8.770562,10.121059,29.938034,74.883080
0.5612463,1.425037,4.940926,8.727451,10.129752,30.507114,73.911652
0.5637628,1.420247,4.940926,8.626861,10.042538,30.791941,73.962944
0.5662801,1.389111,4.955296,8.691526,10.100853,30.630095,74.340294
0.5687954,1.329236,4.816384,8.622070,9.965165,30.092047,74.571449
0.5713021,1.307681,4.823570,8.717872,10.048788,29.824306,74.831573
0.5738187,1.369951,4.845125,8.624466,9.986662,30.276949,74.211838
0.5763400,1.238225,4.890630,8.739427,10.091038,29.996231,75.792236
0.5788950,1.283731,4.835545,8.634046,9.978838,30.090385,75.132187
0.5814056,1.319656,4.919370,8.669971,10.055352,30.432724,74.983543
0.5839294,1.322051,4.792434,8.801697,10.108665,29.458961,74.577835
0.5864521,1.422642,4.802014,8.784932,10.112284,29.687601,73.497589
0.5889776,1.520837,4.739744,8.744217,10.061781,29.651270,72.210167
0.5914952,1.489702,4.787644,8.887918,10.204697,29.429214,72.716179
0.5940244,1.542393,4.813990,8.837623,10.181211,29.769190,72.234650
0.5965642,1.535208,4.816384,8.832832,10.177099,29.783031,72.320480
0.5990825,1.592688,4.847520,8.768167,10.144745,30.196415,71.811684
0.6016002,1.592688,4.845125,8.847202,10.211997,29.962345,71.803284
0.6041178,1.482517,4.813990,8.885523,10.213955,29.548389,72.883255
0.6066165,1.453777,4.890630,8.851993,10.217118,29.958380,73.445023
0.6091223,1.489702,4.854705,8.842413,10.196844,29.868402,72.940979
0.6116409,1.360371,4.893025,8.854387,10.207472,29.837296,74.462868
0.6141508,1.341211,4.835545,8.818462,10.146261,29.641819,74.497849
0.6166624,1.350791,4.835545,8.811277,10.141289,29.674511,74.392494
0.6191836,1.252595,4.845125,8.921448,10.229197,29.289932,75.504868
0.6217082,1.393901,4.876260,9.043594,10.368581,29.283356,74.047173
0.6242208,1.305286,4.720584,9.034014,10.276239,28.464005,74.543381
0.6267495,1.314866,4.775669,9.065149,10.330190,28.653042,74.606384
0.6292750,1.278940,4.778064,9.053174,10.316277,28.650328,75.014969
0.6318028,1.384321,4.730164,9.084310,10.335157,28.481447,73.687454
0.6343194,1.307681,4.778064,9.122630,10.380863,28.502895,74.693863
0.6368209,1.329236,4.766089,9.180110,10.428658,28.324171,74.416504
0.6393398,1.369951,4.790039,9.220825,10.480690,28.382742,74.039467
0.6418568,1.245410,4.691844,9.237591,10.435397,27.721762,75.134140
0.6443737,1.348396,4.706213,9.213640,10.433494,27.983479,74.012253
0.6468905,1.408272,4.706213,9.148975,10.384384,28.232889,73.340889
0.6494153,1.247805,4.687053,9.129815,10.338231,27.979942,75.092270
0.6519368,1.381926,4.730164,9.216036,10.450812,28.133812,73.714172
0.6544526,1.307681,4.761299,9.096285,10.349995,28.493820,74.642509
0.6569874,1.360371,4.732559,9.105865,10.352028,28.403282,73.962738
0.6595172,1.331631,4.720584,9.148975,10.380795,28.195971,74.246758
0.6620444,1.317261,4.617598,9.026829,10.224530,28.010687,74.078156
0.6645493,1.365161,4.658313,9.045989,10.266131,28.218750,73.666298
0.6670709,1.429827,4.768484,9.036409,10.316954,28.850754,73.308678
0.6695859,1.417852,4.679868,8.998089,10.240951,28.521496,73.144859
0.6720929,1.417852,4.651128,8.883128,10.126859,28.695368,73.046661
0.6745993,1.324446,4.751719,8.950189,10.219533,28.861115,74.425262
0.6770880,1.413062,4.744534,8.895103,10.179892,29.097734,73.414925
0.6796077,1.374741,4.727769,8.813672,10.095669,29.189066,73.786621
0.6821213,1.472937,4.763694,8.806487,10.120106,29.518446,72.818359
0.6846373,1.415457,4.790039,8.691526,10.024501,29.884871,73.537590
0.6871448,1.453777,4.722979,8.753797,10.052311,29.445433,72.891144
0.6896605,1.307681,4.754114,8.674761,9.978131,29.613640,74.620392
0.6921850,1.360371,4.732559,8.653206,9.956189,29.642502,73.962738
0.6947117,1.367556,4.782854,8.583751,9.921022,30.093504,74.043236
0.6972303,1.326841,4.780459,8.614885,9.941305,29.936974,74.487732
0.6997485,1.362766,4.711004,8.602911,9.902564,29.685616,73.866272
0.7022630,1.288521,4.744534,8.646021,9.946083,29.623875,74.806084
0.7047906,1.298101,4.802014,8.566985,9.906445,30.141371,74.873116
0.7073122,1.434617,4.768484,8.555010,9.898725,30.202396,73.255882
0.7098304,1.374741,4.775669,8.638836,9.966264,29.910213,73.940819
0.7123566,1.465752,4.818779,8.643626,10.004066,30.230001,73.081551
0.7148747,1.475332,4.835545,8.543036,9.926861,30.616217,73.032974
0.7174023,1.518442,4.828360,8.595725,9.975230,30.491222,72.542465
0.7199177,1.429827,4.780459,8.540640,9.891397,30.294806,73.348175
0.7224357,1.480122,4.825964,8.669971,10.032402,30.208866,72.949234
0.7249534,1.482517,4.790039,8.787327,10.117284,29.709879,72.802704
0.7274786,1.360371,4.754114,8.696317,10.003906,29.623522,74.031731
0.7300076,1.422642,4.895420,8.806487,10.175621,30.065916,73.795784
0.7325254,1.379531,4.797225,8.832832,10.145708,29.471806,73.956429
0.7350426,1.386716,4.837940,8.952583,10.270219,29.342823,74.005913
0.7375597,1.420247,4.859495,8.966953,10.297478,29.449282,73.708351
0.7400765,1.336421,4.881050,8.976534,10.304797,29.412994,74.687805
0.7425425,1.393901,4.842730,8.931028,10.254670,29.433920,73.942390
0.7450507,1.408272,4.737349,8.914263,10.192634,29.004816,73.444366
0.7475578,1.353186,4.768484,8.899893,10.187132,29.115496,74.157280
0.7500690,1.513652,4.739744,8.957374,10.246505,29.050957,72.288948
0.7525701,1.472937,4.799619,8.945398,10.257975,29.303040,72.939468
0.7550867,1.405877,4.744534,8.911868,10.193551,29.041855,73.494652
0.7576035,1.372346,4.675078,8.897498,10.144218,28.705460,73.640656
0.7601204,1.441802,4.756509,8.923843,10.214604,29.116079,73.136795
0.7626432,1.448987,4.713398,8.818462,10.103513,29.212984,72.911591
0.7651606,1.429827,4.768484,8.871153,10.172522,29.299892,73.308678
0.7676901,1.290916,4.751719,8.880733,10.154443,29.006323,74.801102
0.7702056,1.357976,4.770879,8.806487,10.107404,29.391020,74.111603
0.7727085,1.293311,4.648733,8.720266,9.966264,28.957571,74.453056
0.7752509,1.190325,4.730164,8.629255,9.912385,29.477047,75.875053
0.7777585,1.211880,4.749324,8.653206,9.944983,29.528854,75.685356
0.7802643,1.175955,4.778064,8.578960,9.889961,29.837357,76.173431
0.7827650,1.120869,4.794829,8.617281,9.924932,29.744562,76.842461
0.7852517,1.207090,4.768484,8.519085,9.837190,30.001997,75.794601
0.7878117,1.111289,4.718189,8.550220,9.828659,29.549788,76.746513
0.7903120,1.183140,4.718189,8.473579,9.770500,29.858038,75.922707
0.7928372,1.199905,4.687053,8.337064,9.639236,30.127665,75.640442
0.7953650,1.163980,4.651128,8.432864,9.700569,29.620695,75.949875
0.7978964,1.154400,4.737349,8.514295,9.811643,29.798939,76.305046
0.8004119,1.099314,4.667893,8.492740,9.753171,29.452108,76.748009
0.8029199,1.171165,4.646338,8.581355,9.828517,29.178175,75.852623
0.8054315,1.197510,4.756509,8.636441,9.932096,29.593758,75.868759
0.8079482,1.025068,4.615203,8.624466,9.835258,28.730221,77.477486
0.8104608,1.039438,4.655918,8.696317,9.918867,28.747828,77.415031
0.8129759,1.089734,4.622388,8.681946,9.895967,28.679062,76.734665
0.8155029,1.089734,4.639153,8.792117,10.000529,28.458178,76.780914
0.8180282,1.051414,4.490662,8.727451,9.871166,27.854643,76.822517
0.8205529,1.041834,4.598438,8.863968,10.039968,28.009699,77.234436
0.8230838,1.192720,4.521797,8.945398,10.094027,27.599564,75.223579
0.8256293,1.204695,4.612808,8.964559,10.153453,28.004906,75.363380
0.8281527,1.216670,4.610413,8.988508,10.174943,27.945171,75.216888
0.8306983,1.152004,4.608018,9.151370,10.310602,27.430674,75.963753
0.8332176,1.211880,4.540957,9.120234,10.260001,27.263195,75.057297
0.8357338,1.240620,4.631968,9.069940,10.259536,27.865196,75.005905
0.8382527,1.262175,4.639153,9.163345,10.348030,27.684921,74.779930
0.8407612,1.293311,4.538562,9.196876,10.337008,27.163940,74.094543
0.8432770,1.269360,4.651128,9.141790,10.335212,27.806437,74.734894
0.8457842,1.307681,4.646338,9.141790,10.337834,27.833981,74.281097
0.8482944,1.271755,4.622388,9.029224,10.223049,27.966465,74.616852
0.8508012,1.271755,4.619993,8.974138,10.173340,28.100456,74.609253
0.8533250,1.300496,4.576882,8.954978,10.140551,27.983109,74.137794
0.8558282,1.204695,4.517007,9.038804,10.176179,27.348131,75.066689
0.8583471,1.204695,4.562512,8.794512,9.980543,28.216707,75.209076
0.8608678,1.101709,4.617598,8.737032,9.943425,28.517147,76.580719
0.8633859,1.056204,4.521797,8.784932,9.936662,27.859898,76.852547
0.8659057,1.120869,4.598438,8.847202,10.033691,28.145868,76.301285
0.8684223,1.089734,4.574488,8.835227,10.008731,28.023861,76.600746
0.8709389,1.013093,4.584067,8.887918,10.051622,27.843435,77.537773
0.8734236,1.037043,4.538562,8.856783,10.005829,27.728493,77.129105
0.8759411,1.022673,4.526587,8.734636,9.890891,27.981514,77.269135
0.8784343,1.092129,4.485872,8.794512,9.932735,27.698370,76.316986
0.8809543,1.123264,4.469107,8.823253,9.954116,27.576637,75.891533
0.8834705,1.106499,4.488267,8.799302,9.939648,27.714859,76.150948
0.8860025,1.075364,4.457131,8.828042,9.947701,27.446030,76.435585
0.8885257,0.969983,4.502637,8.753797,9.891590,27.751722,77.842819
0.8910570,1.089734,4.447551,8.777747,9.900357,27.549803,76.232681
0.8935825,1.082549,4.485872,8.820857,9.955023,27.616388,76.432556
0.8961138,1.065784,4.473897,8.796907,9.926592,27.600920,76.600594
0.8986299,1.075364,4.483477,8.777747,9.914979,27.711334,76.512367
0.9011453,1.123264,4.454737,8.794512,9.922189,27.582140,75.847847
0.9036614,1.142424,4.457131,8.804092,9.933942,27.592560,75.623787
0.9061768,1.161584,4.490662,8.818462,9.963965,27.744116,75.497360
0.9086934,1.106499,4.358936,8.792117,9.875525,27.089828,75.756538
0.9112103,1.092129,4.507427,8.708291,9.866305,28.038809,76.379974
0.9137321,1.092129,4.495452,8.799302,9.941305,27.733036,76.345055
0.9162391,1.032254,4.387676,8.780142,9.869555,27.174622,76.761223
0.9187769,1.082549,4.332591,8.727451,9.803656,27.098572,75.971207
0.9212885,1.125659,4.421206,8.741821,9.860710,27.559532,75.715729
0.9238018,1.104104,4.399651,8.825647,9.923105,27.201580,75.912399
0.9263148,1.041834,4.323010,8.792117,9.852673,26.828859,76.450256
0.9288273,1.077759,4.452342,8.751402,9.877851,27.629852,76.392410
0.9313364,1.017883,4.447551,8.768167,9.884207,27.490356,77.109085
0.9338532,1.108894,4.447551,8.729847,9.860050,27.702234,76.000061
0.9363719,1.128054,4.409231,8.806487,9.913024,27.330187,75.649307
0.9388781,1.072969,4.402046,8.722662,9.829247,27.449297,76.301651
0.9413955,1.113684,4.387676,8.844808,9.935925,27.103550,75.757896
0.9439127,1.094524,4.375701,8.847202,9.930646,27.013567,75.956375
0.9464217,1.101709,4.406836,8.887918,9.981435,27.070797,75.963753
0.9489298,1.144819,4.387676,8.971744,10.052587,26.813305,75.376579
0.9514367,1.238225,4.425996,9.014853,10.118806,27.013327,74.370407
0.9539687,1.226250,4.514612,8.887918,10.043928,27.760229,74.804054
0.9564795,1.178350,4.497847,9.086704,10.207220,27.098692,75.319527
0.9589813,1.298101,4.469107,9.069940,10.194203,27.162497,73.803490
0.9615116,1.360371,4.442761,9.115445,10.231328,27.009062,72.975441
0.9640343,1.271755,4.411626,9.079519,10.174354,26.824524,73.919128
